
> oshikoyo@1.0.0 serve
> npx serve . -p 8081

 INFO  Accepting connections at http://localhost:41097
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 301 in 1 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 9:53:04 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 9:53:07 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 301 in 4 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 9 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 9:53:08 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 9:53:52 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 9:53:53 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 Returned 200 in 83 ms
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:51:40 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 200 in 8 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 304 in 6 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 301 in 2 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 301 in 10 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 304 in 6 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:51:41 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 Returned 200 in 17 ms
 HTTP  3/17/2026 11:51:48 AM 127.0.0.1 Returned 200 in 25 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /sw.js
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /index.html
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 301 in 2 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 301 in 1 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 304 in 12 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/style.css
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/script.js
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/assets/default_image.png
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:51:49 AM 127.0.0.1 Returned 200 in 1 ms
